# x, y, theta, v_l, v_r
10.00, 250.00, 1.571, 0.00, 0.00
10.00, 251.00, 1.571, 100.00, 100.00
10.00, 252.00, 1.571, 100.00, 100.00
10.00, 253.00, 1.571, 100.00, 100.00
10.00, 254.00, 1.571, 100.00, 100.00
10.00, 255.00, 1.571, 100.00, 100.00
10.00, 256.00, 1.571, 100.00, 100.00
10.00, 257.00, 1.571, 100.00, 100.00
10.00, 258.00, 1.571, 100.00, 100.00
10.00, 259.00, 1.571, 100.00, 100.00
10.00, 260.00, 1.571, 100.00, 100.00
10.00, 261.00, 1.571, 100.00, 100.00
10.00, 262.00, 1.571, 100.00, 100.00
10.00, 263.00, 1.571, 100.00, 100.00
10.00, 264.00, 1.571, 100.00, 100.00
10.00, 265.00, 1.571, 100.00, 100.00
10.00, 266.00, 1.571, 100.00, 100.00
10.00, 267.00, 1.571, 100.00, 100.00
10.00, 268.00, 1.571, 100.00, 100.00
10.00, 269.00, 1.571, 100.00, 100.00
10.00, 270.00, 1.571, 100.00, 100.00
10.00, 271.00, 1.571, 100.00, 100.00
10.00, 272.00, 1.571, 100.00, 100.00
10.00, 273.00, 1.571, 100.00, 100.00
10.00, 274.00, 1.571, 100.00, 100.00
10.00, 275.00, 1.571, 100.00, 100.00
10.00, 276.00, 1.571, 100.00, 100.00
10.00, 277.00, 1.571, 100.00, 100.00
10.00, 278.00, 1.571, 100.00, 100.00
10.00, 279.00, 1.571, 100.00, 100.00
10.00, 280.00, 1.571, 100.00, 100.00
10.00, 281.00, 1.571, 100.00, 100.00
10.00, 282.00, 1.571, 100.00, 100.00
10.00, 283.00, 1.571, 100.00, 100.00
10.00, 284.00, 1.571, 100.00, 100.00
10.00, 285.00, 1.571, 100.00, 100.00
10.00, 286.00, 1.571, 100.00, 100.00
10.00, 287.00, 1.571, 100.00, 100.00
10.00, 288.00, 1.571, 100.00, 100.00
10.00, 289.00, 1.571, 100.00, 100.00
10.00, 290.00, 1.571, 100.00, 100.00
10.00, 291.00, 1.571, 100.00, 100.00
10.00, 292.00, 1.571, 100.00, 100.00
10.00, 293.00, 1.571, 100.00, 100.00
10.00, 294.00, 1.571, 100.00, 100.00
10.00, 295.00, 1.571, 100.00, 100.00
10.00, 296.00, 1.571, 100.00, 100.00
10.00, 297.00, 1.571, 100.00, 100.00
10.00, 298.00, 1.571, 100.00, 100.00
10.00, 299.00, 1.571, 100.00, 100.00
10.00, 300.00, 1.571, 100.00, 100.00
10.00, 301.00, 1.571, 100.00, 100.00
10.00, 302.00, 1.571, 100.00, 100.00
10.00, 303.00, 1.571, 100.00, 100.00
10.00, 304.00, 1.571, 100.00, 100.00
10.00, 305.00, 1.571, 100.00, 100.00
10.00, 306.00, 1.571, 100.00, 100.00
10.00, 307.00, 1.571, 100.00, 100.00
10.00, 308.00, 1.571, 100.00, 100.00
10.00, 309.00, 1.571, 100.00, 100.00
10.00, 310.00, 1.571, 100.00, 100.00
10.00, 311.00, 1.571, 100.00, 100.00
10.00, 312.00, 1.571, 100.00, 100.00
10.00, 313.00, 1.571, 100.00, 100.00
10.00, 314.00, 1.571, 100.00, 100.00
10.00, 315.00, 1.571, 100.00, 100.00
10.00, 316.00, 1.571, 100.00, 100.00
10.00, 317.00, 1.571, 100.00, 100.00
10.00, 318.00, 1.571, 100.00, 100.00
10.00, 319.00, 1.571, 100.00, 100.00
10.00, 320.00, 1.571, 100.00, 100.00
10.00, 321.00, 1.571, 100.00, 100.00
